Ponderador,COUNTRY,P1,P2,P0,P7,P5,P6,P13,P29,P37,P39,P8_1,P8_2,P8_3,P23,P24,P25_1,P25_3,P25_4,P25_8,P26_1,P26_4,P26_8,P26_9,P27_1,P27_2,P27_3,P28_1,P28_2,P28_3,P28_4,P9_1,P9_2,P38_1,P38_2
.354272935145865,Uruguay,18-25,Hombre,1,1,0,1,0,99,1,1,1,1,1,0,1,1,0,0,0,,,,,1,1,1,1,1,0,1,0,1,1,0
1.5290823149707,Uruguay,25-50,Mujer,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,,,,,1,1,0,1,0,1,1,0,1,0,0
1.13319820310297,Uruguay,50+,Hombre,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,,,,,1,1,0,1,1,1,1,1,0,1,0
1.62938579959963,Uruguay,25-50,Mujer,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,,,,,1,1,1,1,1,1,1,0,1,1,0
.313919612622293,Uruguay,50+,Hombre,1,1,0,0,99,1,0,1,1,1,1,1,1,1,0,0,0,,,,,1,1,1,1,1,1,1,0,1,1,0
1.06583690004551,Uruguay,25-50,Mujer,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,,,,,1,1,1,1,1,1,1,1,0,1,0
.945866179954176,Uruguay,18-25,Hombre,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,,,,,1,1,1,1,1,1,1,0,1,1,0
1.01924062864652,Uruguay,25-50,Hombre,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,,,,,1,1,1,1,1,1,0,0,1,0,0
.544123928939367,Uruguay,25-50,Mujer,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,,,,,1,1,1,1,1,0,0,1,0,1,0
.433229592563211,Uruguay,25-50,Mujer,1,1,0,1,0,99,1,1,1,1,0,1,1,1,0,0,0,,,,,1,1,1,1,1,1,1,0,1,0,0
.338979938572873,Uruguay,50+,Hombre,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,,,,,1,1,1,1,1,1,1,0,1,1,0
1.65416,Peru,50+,Hombre,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,,,,,1,1,1,1,1,1,1,1,0,0,1
1.05022,Peru,25-50,Hombre,1,0,1,1,0,0,0,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0
1.66772,Peru,50+,Mujer,1,0,0,0,0,99,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0
1.16527482088972,Paraguay,50+,Hombre,1,0,1,1,0,1,0,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0
2.345670807338431,Paraguay,18-25,Hombre,1,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0
.4250465131347539,Paraguay,50+,Mujer,1,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0
1.0396,Peru,18-25,Mujer,1,0,0,1,0,0,0,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0
2.626357443027195,Paraguay,18-25,Hombre,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,,,,,1,1,1,1,1,1,1,0,1,0,0
1.06768,Peru,25-50,Mujer,1,1,0,1,0,99,1,1,1,1,0,1,1,0,0,0,0,,,,,1,1,1,1,1,0,1,0,1,1,0
1.03521,Peru,18-25,Mujer,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,,,,,1,1,1,0,1,0,1,0,1,1,0
1.032,Peru,18-25,Hombre,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,,,,,0,0,0,1,0,0,1,1,0,0,0
1.05988,Peru,25-50,Hombre,1,0,0,1,0,99,0,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0
1.17403,Peru,50+,Mujer,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,0,0
